"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)12:18:15","No ID","Anonymous","102127215","Comfy LOTR thread","Are these the final days of LOTR trilogy threads without being sullied by the inevitably shit Amazon series that&#039;s coming out?","The Argonath - 1533658695839.jpg"
"08/07/18(Tue)12:19:06","No ID","Anonymous","102127239","No Subject Text Provided","Google self fulfilling prophecy OP.","No File Posted"
"08/07/18(Tue)12:20:11","No ID","Anonymous","102127273","No Subject Text Provided","new shitty versions of something don&#039;t erase the old ones.<br><br>something star wars fags need to learn.","No File Posted"
"08/07/18(Tue)12:21:49","No ID","Anonymous","102127312","No Subject Text Provided","Have you guys heard the news","Rohan news - 1533658909943.jpg"
"08/07/18(Tue)12:23:00","No ID","Anonymous","102127345","No Subject Text Provided","the comfy lotr threads are usually spared the hobbit extended scenes webms or they just get ignored. <br><br>same could happen to the new shot if it&#039;s shit","No File Posted"
"08/07/18(Tue)12:24:05","No ID","Anonymous","102127384","No Subject Text Provided","QUICK:<br><br><span class=""quote"">&gt;Favourite character</span><br><span class=""quote"">&gt;Favourite scene (only one out of the three films)</span><br><span class=""quote"">&gt;Favourite track on the OST</span>","No File Posted"
"08/07/18(Tue)12:25:50","No ID","Anonymous","102127437","No Subject Text Provided","<a href=""#p102127312"" class=""quotelink"">&gt;&gt;102127312</a><br>How did they know what a menu is?","question - 1533659150406.jpg"
"08/07/18(Tue)12:26:56","No ID","Anonymous","102127478","No Subject Text Provided","<a href=""#p102127384"" class=""quotelink"">&gt;&gt;102127384</a><br>Aragorn<br>The end of fellowship<br>The sound of the shire","No File Posted"
"08/07/18(Tue)12:27:30","No ID","Anonymous","102127496","No Subject Text Provided","<a href=""#p102127215"" class=""quotelink"">&gt;&gt;102127215</a><br><span class=""quote"">&gt;inevitably shit Amazon series</span><br>have a little faith","No File Posted"
