"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)09:47:15","No ID","Anonymous","102122733","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>because their not very intelligent and just open they&#039;re mouthes and swim foreward to feed","No File Posted"
"08/07/18(Tue)09:50:42","No ID","Anonymous","102122834","No Subject Text Provided","<a href=""#p102121820"" class=""quotelink"">&gt;&gt;102121820</a><br><br>Is this good","No File Posted"
"08/07/18(Tue)09:53:38","No ID","Anonymous","102122928","No Subject Text Provided","<a href=""#p102122616"" class=""quotelink"">&gt;&gt;102122616</a><br><span class=""quote"">&gt;/tv/ is now /pol/</span><br>nice pasta","No File Posted"
"08/07/18(Tue)09:56:53","No ID","Anonymous","102123032","No Subject Text Provided","<a href=""#p102121902"" class=""quotelink"">&gt;&gt;102121902</a><br>Don&#039;t give up, Skeleton!","No File Posted"
"08/07/18(Tue)10:06:42","No ID","Anonymous","102123302","No Subject Text Provided","Why haven&#039;t they done a movie about blanket octopuses in the age of feminism?","tumblr_ovebj7dkCJ1ririjeo1_500 - 1533650802681.jpg"
"08/07/18(Tue)10:08:59","No ID","Anonymous","102123361","No Subject Text Provided","<a href=""#p102122067"" class=""quotelink"">&gt;&gt;102122067</a>","devil-fish (1) - 1533650939663.jpg"
"08/07/18(Tue)10:10:54","No ID","Anonymous","102123412","No Subject Text Provided","<a href=""#p102123302"" class=""quotelink"">&gt;&gt;102123302</a><br>Or anglerfish?","male - 1533651054215.png"
"08/07/18(Tue)10:11:20","No ID","Anonymous","102123423","No Subject Text Provided","<a href=""#p102122127"" class=""quotelink"">&gt;&gt;102122127</a><br><br><span class=""quote"">&gt;A film about a pod of slightly larger than average blue whales going on a rampage and attacking crowds of people at the beach, divers and small boats wouldn&#039;t be kino</span><br><br>You know nothing","No File Posted"
"08/07/18(Tue)10:12:17","No ID","Anonymous","102123448","No Subject Text Provided","<a href=""#p102123302"" class=""quotelink"">&gt;&gt;102123302</a><br>I wish there was me","No File Posted"
"08/07/18(Tue)10:13:36","No ID","Anonymous","102123493","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br><br>do you guys doubt most of the &quot;animals&quot; on documentaries are long dead or never existed?","No File Posted"
"08/07/18(Tue)10:14:04","No ID","Anonymous","102123506","No Subject Text Provided","<a href=""#p102122616"" class=""quotelink"">&gt;&gt;102122616</a><br>I know this is a pasta but fun fact: a whale&#039;s sonar pulse can literally crush every organ in your body and they purposely turn it down around divers to avoid killing them.","No File Posted"
"08/07/18(Tue)10:14:31","No ID","Anonymous","102123521","No Subject Text Provided","<a href=""#p102123361"" class=""quotelink"">&gt;&gt;102123361</a><br>The Black Pearl would make for some kino. Get me a Mexican director who isn&#039;t del Toro","220px-TheBlackPearl - 1533651271166.jpg"
"08/07/18(Tue)10:15:07","No ID","Anonymous","102123534","No Subject Text Provided","<a href=""#p102123493"" class=""quotelink"">&gt;&gt;102123493</a><br><br>wat","1529702016438 - 1533651307269.jpg"
"08/07/18(Tue)10:15:34","No ID","Anonymous","102123541","No Subject Text Provided","<a href=""#p102123506"" class=""quotelink"">&gt;&gt;102123506</a><br>You can go find them","No File Posted"
"08/07/18(Tue)10:15:58","No ID","Anonymous","102123551","No Subject Text Provided","<a href=""#p102123412"" class=""quotelink"">&gt;&gt;102123412</a><br>damn lil nigga GETTIN. IT. IN","No File Posted"
"08/07/18(Tue)10:16:21","No ID","Anonymous","102123562","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Because Hollywood made whale kino on their first outing and ran out of ideas.","220px-Free_willy - 1533651381535.jpg"
"08/07/18(Tue)10:19:42","No ID","Anonymous","102123658","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Why are shark movies endless but not whale movies","No File Posted"
"08/07/18(Tue)10:21:39","No ID","Anonymous","102123714","No Subject Text Provided","<a href=""#p102120281"" class=""quotelink"">&gt;&gt;102120281</a><br><br>111 feet / 34 meters isn&#039;t impressive?","No File Posted"
"08/07/18(Tue)10:21:48","No ID","Anonymous","102123720","No Subject Text Provided","<a href=""#p102123302"" class=""quotelink"">&gt;&gt;102123302</a><br><span class=""quote"">&gt;tfw no 240,000 tall female to brap you out of existence</span>","No File Posted"
"08/07/18(Tue)10:22:03","No ID","Anonymous","102123725","No Subject Text Provided","Big Miracle is nice","E60950DB-EF83-4DD5-A1B7-A76F1C8A04FE - 1533651723591.jpg"
"08/07/18(Tue)10:22:19","No ID","Anonymous","102123734","No Subject Text Provided","No Comment Text Provided","shark vs turtle - 1533651739504.webm"
"08/07/18(Tue)10:30:15","No ID","Anonymous","102123942","No Subject Text Provided","<a href=""#p102123658"" class=""quotelink"">&gt;&gt;102123658</a><br>That&#039;s because Jaws set the standard for it: fake as ass. Filmmakers realized that with sharks people don&#039;t mind how fake the animal look","9A03A7A7-10FA-466E-A53B-28EA44757040 - 1533652215077.jpg"
"08/07/18(Tue)10:31:18","No ID","Anonymous","102123967","No Subject Text Provided","<a href=""#p102123725"" class=""quotelink"">&gt;&gt;102123725</a><br>Name one whale movie that&#039;s not about rescue","No File Posted"
"08/07/18(Tue)10:32:58","No ID","Anonymous","102124011","No Subject Text Provided","<a href=""#p102123967"" class=""quotelink"">&gt;&gt;102123967</a><br>moby dick","No File Posted"
"08/07/18(Tue)10:37:34","No ID","Anonymous","102124151","No Subject Text Provided","<a href=""#p102123734"" class=""quotelink"">&gt;&gt;102123734</a><br><br>Based turtle","4641e9b649c7e2cb8b2e9728fbbc947b - 1533652654226.jpg"
"08/07/18(Tue)10:38:11","No ID","Anonymous","102124165","No Subject Text Provided","<span class=""quote"">&gt;The Stat Trek Whale Movie</span>","F3DBF95D-C69E-49D1-AD0B-6292BE72CC3D - 1533652691874.jpg"
